[rbsteinm@bellatrix repo]$ bash strong_scaling.sh
Strong Scaling:
n=100000 p=1 t=0.002918 
n=100000 p=2 t=0.001122 
n=100000 p=4 t=0.000990 
n=100000 p=8 t=0.000973 
n=100000 p=16 t=0.001379 
n=100000 p=32 t=0.001720 
n=100000 p=64 t=0.008660

n=10000000 p=1 t=0.199412 
n=10000000 p=2 t=0.099032 
n=10000000 p=4 t=0.056092 
n=10000000 p=8 t=0.028126 
n=10000000 p=16 t=0.019049 
n=10000000 p=32 t=0.008377 
n=10000000 p=64 t=0.022424

n=20000000 p=1 t=0.546185 
n=20000000 p=2 t=0.205488 
n=20000000 p=4 t=0.142231 
n=20000000 p=8 t=0.077312 
n=20000000 p=16 t=0.030823 
n=20000000 p=32 t=0.015851 
n=20000000 p=64 t=0.009112

n=50000000 p=1 t=2.679413
n=50000000 p=2 t=0.859940
n=50000000 p=4 t=0.533686
n=50000000 p=8 t=0.407817   
n=50000000 p=16 t=0.192102
n=50000000 p=32 t=0.039683
n=50000000 p=64 t=0.025487

n=100000000 p=1 t=6.322764
n=100000000 p=2 t=2.628261
n=100000000 p=4 t=1.784132
n=100000000 p=8 t=0.725338
n=100000000 p=16 t=0.443683
n=100000000 p=32 t=0.157159
n=100000000 p=64 t=0.054078

n=200000000 p=1 t=13.925948
n=200000000 p=2 t=6.179890
n=200000000 p=4 t=4.056988
n=200000000 p=8 t=2.367317
n=200000000 p=16 t=0.964095
n=200000000 p=32 t=0.435021
n=200000000 p=64 t=0.144944

n=500000000 p=1 t=37.929572
n=500000000 p=2 t=17.382783
n=500000000 p=4 t=9.368903
n=500000000 p=8 t=5.057039
n=500000000 p=16 t=2.681315
n=500000000 p=32 t=1.296199
n=500000000 p=64 t=0.618013

n=1000000000 p=1 t=79.260680
n=1000000000 p=2 t=36.730777
n=1000000000 p=4 t=19.835741
n=1000000000 p=8 t=13.918355
n=1000000000 p=16 t=5.634328
n=1000000000 p=32 t=2.806752
n=1000000000 p=64 t=1.466967

n=2000000000 p=1 t=164.628030
n=2000000000 p=2 t=76.816287
n=2000000000 p=4 t=40.753218
n=2000000000 p=8 t=21.469591
n=2000000000 p=16 t=11.714371
n=2000000000 p=32 t=5.867563
n=2000000000 p=64 t=2.892470
[rbsteinm@bellatrix repo]$
