Weak Scaling: 
n=10000000 p=1 t=0.196128 
n=20000000 p=2 t=0.203303 
n=40000000 p=4 t=0.318158 
n=80000000 p=8 t=0.722531 
n=160000000 p=16 t=0.741059 
n=320000000 p=32 t=0.772509 
n=640000000 p=64 t=0.807092 
n=100000000 p=1 t=6.313050 
n=200000000 p=2 t=6.154835 
n=400000000 p=4 t=7.888585 
n=800000000 p=8 t=11.280721 
n=1600000000 p=16 t=9.226505 
n=3200000000 p=32 t=9.574545 
n=6400000000 p=64 t=9.877649 
n=1000000000 p=1 t=79.267527 
n=2000000000 p=2 t=76.310696 
n=4000000000 p=4 t=82.773081 
n=8000000000 p=8 t=107.675361 
n=16000000000 p=16 t=103.108552 
n=32000000000 p=32 t=106.065825 
n=64000000000 p=64 t=110.155334 
